"States and selected areas:  Employment status of the civilian noninstitutional population,",,,,,,,,,
1976 to 2025(1) annual averages,,,,,,,,,
,,,,,,,,,
FIPS Code,State and area,Year,Civilian non-institutional population,Civilian labor force,,,,,
,,,,Total,Percent of population,Employment,,Unemployment,
,,,,,,Total,Percent of population,Total,Rate
,,,,,,Labor force,,level,rate
,,,,,,,,,
09,Connecticut,1988,"25,60,583   ","17,73,704   ",69.3   ,"17,22,258   ",67.3   ,"51,446   ",2.9   
10,Delaware,1988,"4,95,735   ","3,45,235   ",69.6   ,"3,34,832   ",67.5   ,"10,403   ",3.0   
11,District of Columbia,1988,"4,94,069   ","3,48,762   ",70.6   ,"3,31,308   ",67.1   ,"17,454   ",5.0   
12,Florida,1988,"98,31,829   ","61,66,149   ",62.7   ,"58,45,971   ",59.5   ,"3,20,178   ",5.2   
13,Georgia,1988,"47,13,042   ","31,97,940   ",67.9   ,"30,18,602   ",64.0   ,"1,79,338   ",5.6   
15,Hawaii,1988,"7,75,776   ","5,18,862   ",66.9   ,"5,03,003   ",64.8   ,"15,859   ",3.1   
16,Idaho,1988,"7,10,001   ","4,75,290   ",66.9   ,"4,46,094   ",62.8   ,"29,196   ",6.1   
17,Illinois,1988,"85,98,302   ","57,12,974   ",66.4   ,"53,28,476   ",62.0   ,"3,84,498   ",6.7   
18,Indiana,1988,"41,02,561   ","27,36,425   ",66.7   ,"25,95,210   ",63.3   ,"1,41,215   ",5.2   
19,Iowa,1988,"20,82,325   ","14,43,343   ",69.3   ,"13,76,016   ",66.1   ,"67,327   ",4.7   
20,Kansas,1988,"18,12,093   ","12,50,699   ",69.0   ,"11,94,655   ",65.9   ,"56,044   ",4.5   
21,Kentucky,1988,"27,65,532   ","17,01,404   ",61.5   ,"15,74,960   ",56.9   ,"1,26,444   ",7.4   
22,Louisiana,1988,"30,74,133   ","18,80,737   ",61.2   ,"16,83,219   ",54.8   ,"1,97,518   ",10.5   
23,Maine,1988,"9,13,445   ","5,97,634   ",65.4   ,"5,75,843   ",63.0   ,"21,791   ",3.6   
24,Maryland,1988,"35,95,803   ","25,12,679   ",69.9   ,"24,07,155   ",66.9   ,"1,05,524   ",4.2   
25,Massachusetts,1988,"46,78,454   ","31,98,250   ",68.4   ,"30,92,844   ",66.1   ,"1,05,406   ",3.3   
26,Michigan,1988,"69,59,468   ","45,39,348   ",65.2   ,"41,96,289   ",60.3   ,"3,43,059   ",7.6   
27,Minnesota,1988,"32,16,114   ","22,95,396   ",71.4   ,"21,96,672   ",68.3   ,"98,724   ",4.3   
28,Mississippi,1988,"18,59,399   ","11,29,988   ",60.8   ,"10,33,719   ",55.6   ,"96,269   ",8.5   
29,Missouri,1988,"38,29,616   ","25,46,699   ",66.5   ,"24,01,686   ",62.7   ,"1,45,013   ",5.7   
30,Montana,1988,"5,94,478   ","4,03,681   ",67.9   ,"3,76,941   ",63.4   ,"26,740   ",6.6   
31,Nebraska,1988,"11,54,944   ","7,96,252   ",68.9   ,"7,68,461   ",66.5   ,"27,791   ",3.5   
32,Nevada,1988,"8,48,934   ","6,16,563   ",72.6   ,"5,84,471   ",68.8   ,"32,092   ",5.2   
33,New Hampshire,1988,"8,19,303   ","5,92,614   ",72.3   ,"5,78,514   ",70.6   ,"14,100   ",2.4   
34,New Jersey,1988,"60,10,764   ","39,54,498   ",65.8   ,"38,05,562   ",63.3   ,"1,48,936   ",3.8   
35,New Mexico,1988,"10,93,602   ","6,87,420   ",62.9   ,"6,35,188   ",58.1   ,"52,232   ",7.6   
36,New York,1988,"1,39,85,625   ","86,46,537   ",61.8   ,"82,82,518   ",59.2   ,"3,64,019   ",4.2   
51000,New York city,1988,"58,13,825   ","32,26,271   ",55.5   ,"30,63,897   ",52.7   ,"1,62,374   ",5.0   
37,North Carolina,1988,"49,39,130   ","33,79,609   ",68.4   ,"32,54,809   ",65.9   ,"1,24,800   ",3.7   
38,North Dakota,1988,"4,67,841   ","3,21,793   ",68.8   ,"3,06,817   ",65.6   ,"14,976   ",4.7   
39,Ohio,1988,"81,41,031   ","52,65,738   ",64.7   ,"49,47,271   ",60.8   ,"3,18,467   ",6.0   
40,Oklahoma,1988,"23,48,231   ","15,03,278   ",64.0   ,"14,07,806   ",60.0   ,"95,472   ",6.4   
41,Oregon,1988,"21,24,447   ","14,33,868   ",67.5   ,"13,51,682   ",63.6   ,"82,186   ",5.7   
42,Pennsylvania,1988,"91,57,334   ","56,57,846   ",61.8   ,"53,66,154   ",58.6   ,"2,91,692   ",5.2   
44,Rhode Island,1988,"7,66,220   ","5,16,193   ",67.4   ,"5,00,922   ",65.4   ,"15,271   ",3.0   
45,South Carolina,1988,"25,31,731   ","16,64,039   ",65.7   ,"15,87,665   ",62.7   ,"76,374   ",4.6   
46,South Dakota,1988,"5,01,912   ","3,43,699   ",68.5   ,"3,29,421   ",65.6   ,"14,278   ",4.2   
47,Tennessee,1988,"36,89,926   ","23,13,429   ",62.7   ,"21,79,833   ",59.1   ,"1,33,596   ",5.8   
48,Texas,1988,"1,22,91,668   ","84,76,633   ",69.0   ,"78,47,106   ",63.8   ,"6,29,527   ",7.4   
49,Utah,1988,"11,13,675   ","7,72,179   ",69.3   ,"7,34,062   ",65.9   ,"38,117   ",4.9   
50,Vermont,1988,"4,15,968   ","2,95,844   ",71.1   ,"2,86,930   ",69.0   ,"8,914   ",3.0   
51,Virginia,1988,"45,20,976   ","31,15,742   ",68.9   ,"29,93,656   ",66.2   ,"1,22,086   ",3.9   
53,Washington,1988,"35,30,884   ","23,71,906   ",67.2   ,"22,23,425   ",63.0   ,"1,48,481   ",6.3   
54,West Virginia,1988,"14,08,160   ","7,31,086   ",51.9   ,"6,59,100   ",46.8   ,"71,986   ",9.8   
55,Wisconsin,1988,"36,38,967   ","25,41,797   ",69.8   ,"24,30,612   ",66.8   ,"1,11,185   ",4.4   
