"States and selected areas:  Employment status of the civilian noninstitutional population,",,,,,,,,,
1976 to 2025(1) annual averages,,,,,,,,,
,,,,,,,,,
FIPS Code,State and area,Year,Civilian non-institutional population,Civilian labor force,,,,,
,,,,Total,Percent of population,Employment,,Unemployment,
,,,,,,Total,Percent of population,Total,Rate
,,,,,,Labor force,,level,rate
,,,,,,,,,
51,Virginia,1981,"39,64,871   ","26,11,486   ",65.9   ,"24,57,712   ",62.0   ,"1,53,774   ",5.9   
53,Washington,1981,"31,29,836   ","20,01,241   ",63.9   ,"18,14,897   ",58.0   ,"1,86,344   ",9.3   
54,West Virginia,1981,"14,50,296   ","7,72,293   ",53.3   ,"6,90,304   ",47.6   ,"81,989   ",10.6   
55,Wisconsin,1981,"35,11,249   ","23,74,912   ",67.6   ,"21,87,847   ",62.3   ,"1,87,065   ",7.9   
56,Wyoming,1981,"3,46,145   ","2,45,592   ",71.0   ,"2,35,357   ",68.0   ,"10,235   ",4.2   
01,Alabama,1982,"28,79,742   ","17,13,224   ",59.5   ,"14,76,783   ",51.3   ,"2,36,441   ",13.8   
02,Alaska,1982,"2,96,865   ","2,16,972   ",73.1   ,"1,95,305   ",65.8   ,"21,667   ",10.0   
04,Arizona,1982,"21,41,023   ","13,61,520   ",63.6   ,"12,25,888   ",57.3   ,"1,35,632   ",10.0   
05,Arkansas,1982,"16,90,974   ","10,15,608   ",60.1   ,"9,19,430   ",54.4   ,"96,178   ",9.5   
06,California,1982,"1,86,01,456   ","1,22,65,023   ",65.9   ,"1,10,29,220   ",59.3   ,"12,35,803   ",10.1   
037,Los Angeles County,1982,"58,54,920   ","38,37,822   ",65.5   ,"34,75,962   ",59.4   ,"3,61,860   ",9.4   
08,Colorado,1982,"22,59,166   ","15,98,254   ",70.7   ,"14,75,668   ",65.3   ,"1,22,586   ",7.7   
09,Connecticut,1982,"24,28,716   ","16,18,515   ",66.6   ,"15,07,758   ",62.1   ,"1,10,757   ",6.8   
10,Delaware,1982,"4,49,499   ","2,93,602   ",65.3   ,"2,68,830   ",59.8   ,"24,772   ",8.4   
11,District of Columbia,1982,"4,92,914   ","3,14,538   ",63.8   ,"2,81,959   ",57.2   ,"32,579   ",10.4   
12,Florida,1982,"81,98,443   ","47,28,174   ",57.7   ,"43,24,040   ",52.7   ,"4,04,134   ",8.5   
13,Georgia,1982,"41,04,580   ","26,68,990   ",65.0   ,"24,61,101   ",60.0   ,"2,07,889   ",7.8   
15,Hawaii,1982,"6,89,816   ","4,59,169   ",66.6   ,"4,31,034   ",62.5   ,"28,135   ",6.1   
16,Idaho,1982,"6,78,021   ","4,43,477   ",65.4   ,"3,99,341   ",58.9   ,"44,136   ",10.0   
17,Illinois,1982,"85,02,786   ","55,76,377   ",65.6   ,"49,44,976   ",58.2   ,"6,31,401   ",11.3   
18,Indiana,1982,"40,22,794   ","25,93,044   ",64.5   ,"22,84,854   ",56.8   ,"3,08,190   ",11.9   
19,Iowa,1982,"21,39,032   ","14,03,735   ",65.6   ,"12,85,764   ",60.1   ,"1,17,971   ",8.4   
20,Kansas,1982,"17,61,495   ","11,88,653   ",67.5   ,"11,12,893   ",63.2   ,"75,760   ",6.4   
21,Kentucky,1982,"26,90,729   ","16,78,475   ",62.4   ,"14,97,508   ",55.7   ,"1,80,967   ",10.8   
22,Louisiana,1982,"30,81,085   ","18,48,354   ",60.0   ,"16,59,975   ",53.9   ,"1,88,379   ",10.2   
23,Maine,1982,"8,42,817   ","5,20,759   ",61.8   ,"4,76,427   ",56.5   ,"44,332   ",8.5   
24,Maryland,1982,"32,48,907   ","21,93,598   ",67.5   ,"20,14,825   ",62.0   ,"1,78,773   ",8.1   
25,Massachusetts,1982,"44,61,648   ","29,92,852   ",67.1   ,"27,58,667   ",61.8   ,"2,34,185   ",7.8   
26,Michigan,1982,"67,51,810   ","42,67,539   ",63.2   ,"36,09,538   ",53.5   ,"6,58,001   ",15.4   
27,Minnesota,1982,"30,63,020   ","21,55,306   ",70.4   ,"19,86,836   ",64.9   ,"1,68,470   ",7.8   
28,Mississippi,1982,"18,06,704   ","10,60,169   ",58.7   ,"9,43,935   ",52.2   ,"1,16,234   ",11.0   
29,Missouri,1982,"36,83,452   ","23,13,840   ",62.8   ,"20,99,238   ",57.0   ,"2,14,602   ",9.3   
30,Montana,1982,"5,87,789   ","3,87,456   ",65.9   ,"3,54,171   ",60.3   ,"33,285   ",8.6   
31,Nebraska,1982,"11,54,414   ","7,75,745   ",67.2   ,"7,33,194   ",63.5   ,"42,551   ",5.5   
32,Nevada,1982,"6,69,115   ","4,90,769   ",73.3   ,"4,41,910   ",66.0   ,"48,859   ",10.0   
33,New Hampshire,1982,"7,08,677   ","4,85,319   ",68.5   ,"4,52,064   ",63.8   ,"33,255   ",6.9   
34,New Jersey,1982,"57,08,580   ","36,35,940   ",63.7   ,"33,17,248   ",58.1   ,"3,18,692   ",8.8   
35,New Mexico,1982,"9,70,550   ","5,98,219   ",61.6   ,"5,44,159   ",56.1   ,"54,060   ",9.0   
36,New York,1982,"1,35,15,867   ","80,32,577   ",59.4   ,"73,33,550   ",54.3   ,"6,99,027   ",8.7   
51000,New York city,1982,"56,00,232   ","30,84,507   ",55.1   ,"27,83,913   ",49.7   ,"3,00,594   ",9.7   
37,North Carolina,1982,"44,52,563   ","29,55,629   ",66.4   ,"26,80,579   ",60.2   ,"2,75,050   ",9.3   
38,North Dakota,1982,"4,75,234   ","3,11,120   ",65.5   ,"2,93,925   ",61.8   ,"17,195   ",5.5   
39,Ohio,1982,"80,19,866   ","51,13,747   ",63.8   ,"44,62,876   ",55.6   ,"6,50,871   ",12.7   
40,Oklahoma,1982,"23,39,380   ","14,80,319   ",63.3   ,"13,89,839   ",59.4   ,"90,480   ",6.1   
41,Oregon,1982,"20,03,943   ","13,26,031   ",66.2   ,"11,75,726   ",58.7   ,"1,50,305   ",11.3   
42,Pennsylvania,1982,"90,93,172   ","54,44,963   ",59.9   ,"48,53,704   ",53.4   ,"5,91,259   ",10.9   
44,Rhode Island,1982,"7,31,252   ","4,80,443   ",65.7   ,"4,33,169   ",59.2   ,"47,274   ",9.8   
45,South Carolina,1982,"23,06,997   ","14,81,395   ",64.2   ,"13,21,621   ",57.3   ,"1,59,774   ",10.8   
46,South Dakota,1982,"4,94,001   ","3,31,746   ",67.2   ,"3,13,776   ",63.5   ,"17,970   ",5.4   
47,Tennessee,1982,"34,68,046   ","21,31,629   ",61.5   ,"18,79,496   ",54.2   ,"2,52,133   ",11.8   
48,Texas,1982,"1,10,16,607   ","74,02,521   ",67.2   ,"68,90,189   ",62.5   ,"5,12,332   ",6.9   
49,Utah,1982,"10,21,204   ","6,74,629   ",66.1   ,"6,19,916   ",60.7   ,"54,713   ",8.1   
50,Vermont,1982,"3,85,069   ","2,61,804   ",68.0   ,"2,43,361   ",63.2   ,"18,443   ",7.0   
51,Virginia,1982,"40,29,975   ","26,72,798   ",66.3   ,"24,76,690   ",61.5   ,"1,96,108   ",7.3   
53,Washington,1982,"31,72,076   ","20,40,626   ",64.3   ,"18,00,905   ",56.8   ,"2,39,721   ",11.7   
54,West Virginia,1982,"14,53,603   ","7,74,847   ",53.3   ,"6,66,425   ",45.8   ,"1,08,422   ",14.0   
55,Wisconsin,1982,"35,32,673   ","24,19,764   ",68.5   ,"21,69,257   ",61.4   ,"2,50,507   ",10.4   
56,Wyoming,1982,"3,54,363   ","2,50,499   ",70.7   ,"2,35,647   ",66.5   ,"14,852   ",5.9   
01,Alabama,1983,"28,97,147   ","17,49,571   ",60.4   ,"15,07,337   ",52.0   ,"2,42,234   ",13.8   
02,Alaska,1983,"3,26,692   ","2,35,485   ",72.1   ,"2,11,650   ",64.8   ,"23,835   ",10.1   
04,Arizona,1983,"22,24,228   ","14,13,641   ",63.6   ,"12,85,269   ",57.8   ,"1,28,372   ",9.1   
05,Arkansas,1983,"17,06,766   ","10,30,726   ",60.4   ,"9,30,571   ",54.5   ,"1,00,155   ",9.7   
06,California,1983,"1,89,75,417   ","1,24,59,424   ",65.7   ,"1,12,34,383   ",59.2   ,"12,25,041   ",9.8   
037,Los Angeles County,1983,"59,76,086   ","38,55,163   ",64.5   ,"34,79,915   ",58.2   ,"3,75,248   ",9.7   
08,Colorado,1983,"23,20,570   ","16,64,301   ",71.7   ,"15,46,377   ",66.6   ,"1,17,924   ",7.1   
09,Connecticut,1983,"24,49,191   ","16,30,976   ",66.6   ,"15,33,252   ",62.6   ,"97,724   ",6.0   
10,Delaware,1983,"4,54,220   ","2,94,895   ",64.9   ,"2,72,101   ",59.9   ,"22,794   ",7.7   
11,District of Columbia,1983,"4,94,808   ","3,22,552   ",65.2   ,"2,87,636   ",58.1   ,"34,916   ",10.8   
12,Florida,1983,"84,58,634   ","49,39,852   ",58.4   ,"45,14,185   ",53.4   ,"4,25,667   ",8.6   
13,Georgia,1983,"41,78,317   ","27,14,453   ",65.0   ,"25,08,076   ",60.0   ,"2,06,377   ",7.6   
15,Hawaii,1983,"7,07,271   ","4,70,590   ",66.5   ,"4,42,775   ",62.6   ,"27,815   ",5.9   
16,Idaho,1983,"6,87,284   ","4,52,143   ",65.8   ,"4,10,572   ",59.7   ,"41,571   ",9.2   
17,Illinois,1983,"85,01,694   ","55,52,358   ",65.3   ,"49,03,101   ",57.7   ,"6,49,257   ",11.7   
18,Indiana,1983,"40,20,619   ","25,68,336   ",63.9   ,"22,83,754   ",56.8   ,"2,84,582   ",11.1   
19,Iowa,1983,"21,31,787   ","13,99,057   ",65.6   ,"12,84,822   ",60.3   ,"1,14,235   ",8.2   
20,Kansas,1983,"17,71,078   ","11,85,841   ",67.0   ,"11,15,942   ",63.0   ,"69,899   ",5.9   
21,Kentucky,1983,"27,11,004   ","16,91,845   ",62.4   ,"15,01,641   ",55.4   ,"1,90,204   ",11.2   
22,Louisiana,1983,"31,23,772   ","18,82,691   ",60.3   ,"16,66,364   ",53.3   ,"2,16,327   ",11.5   
23,Maine,1983,"8,53,002   ","5,34,304   ",62.6   ,"4,90,216   ",57.5   ,"44,088   ",8.3   
24,Maryland,1983,"32,79,773   ","22,29,440   ",68.0   ,"20,74,495   ",63.3   ,"1,54,945   ",6.9   
25,Massachusetts,1983,"44,98,677   ","29,95,527   ",66.6   ,"27,87,418   ",62.0   ,"2,08,109   ",6.9   
26,Michigan,1983,"67,14,953   ","42,67,600   ",63.6   ,"36,49,197   ",54.3   ,"6,18,403   ",14.5   
27,Minnesota,1983,"30,75,907   ","21,75,401   ",70.7   ,"20,00,289   ",65.0   ,"1,75,112   ",8.0   
28,Mississippi,1983,"18,15,313   ","10,65,775   ",58.7   ,"9,37,718   ",51.7   ,"1,28,057   ",12.0   
29,Missouri,1983,"37,01,683   ","23,39,653   ",63.2   ,"21,08,978   ",57.0   ,"2,30,675   ",9.9   
30,Montana,1983,"5,95,593   ","3,95,263   ",66.4   ,"3,60,693   ",60.6   ,"34,570   ",8.7   
31,Nebraska,1983,"11,59,331   ","7,78,272   ",67.1   ,"7,35,136   ",63.4   ,"43,136   ",5.5   
32,Nevada,1983,"6,87,823   ","4,99,145   ",72.6   ,"4,50,225   ",65.5   ,"48,920   ",9.8   
33,New Hampshire,1983,"7,19,823   ","4,99,650   ",69.4   ,"4,72,396   ",65.6   ,"27,254   ",5.5   
34,New Jersey,1983,"57,70,936   ","36,95,308   ",64.0   ,"33,90,087   ",58.7   ,"3,05,221   ",8.3   
35,New Mexico,1983,"9,96,095   ","6,14,753   ",61.7   ,"5,54,649   ",55.7   ,"60,104   ",9.8   
36,New York,1983,"1,36,20,528   ","81,10,593   ",59.5   ,"73,86,874   ",54.2   ,"7,23,719   ",8.9   
51000,New York city,1983,"56,58,393   ","30,67,214   ",54.2   ,"27,64,417   ",48.9   ,"3,02,797   ",9.9   
37,North Carolina,1983,"45,13,704   ","29,76,639   ",65.9   ,"27,08,701   ",60.0   ,"2,67,938   ",9.0   
38,North Dakota,1983,"4,81,188   ","3,15,012   ",65.5   ,"2,96,765   ",61.7   ,"18,247   ",5.8   
39,Ohio,1983,"79,96,887   ","50,81,641   ",63.5   ,"44,58,134   ",55.7   ,"6,23,507   ",12.3   
40,Oklahoma,1983,"24,00,759   ","15,18,823   ",63.3   ,"13,95,340   ",58.1   ,"1,23,483   ",8.1   
41,Oregon,1983,"20,08,728   ","13,38,968   ",66.7   ,"11,93,981   ",59.4   ,"1,44,987   ",10.8   
42,Pennsylvania,1983,"91,01,949   ","54,18,680   ",59.5   ,"48,22,518   ",53.0   ,"5,96,162   ",11.0   
44,Rhode Island,1983,"7,34,948   ","4,79,927   ",65.3   ,"4,39,467   ",59.8   ,"40,460   ",8.4   
45,South Carolina,1983,"23,40,604   ","14,78,129   ",63.2   ,"13,32,493   ",56.9   ,"1,45,636   ",9.9   
46,South Dakota,1983,"4,97,050   ","3,32,237   ",66.8   ,"3,15,041   ",63.4   ,"17,196   ",5.2   
47,Tennessee,1983,"34,93,052   ","21,74,360   ",62.2   ,"19,23,659   ",55.1   ,"2,50,701   ",11.5   
48,Texas,1983,"1,13,67,958   ","76,89,124   ",67.6   ,"70,67,524   ",62.2   ,"6,21,600   ",8.1   
49,Utah,1983,"10,52,318   ","6,95,881   ",66.1   ,"6,33,212   ",60.2   ,"62,669   ",9.0   
50,Vermont,1983,"3,89,275   ","2,63,910   ",67.8   ,"2,46,843   ",63.4   ,"17,067   ",6.5   
51,Virginia,1983,"40,96,971   ","27,37,418   ",66.8   ,"25,65,739   ",62.6   ,"1,71,679   ",6.3   
53,Washington,1983,"32,06,747   ","20,67,720   ",64.5   ,"18,38,213   ",57.3   ,"2,29,507   ",11.1   
54,West Virginia,1983,"14,56,717   ","7,53,039   ",51.7   ,"6,24,274   ",42.9   ,"1,28,765   ",17.1   
55,Wisconsin,1983,"35,36,102   ","24,08,532   ",68.1   ,"21,71,105   ",61.4   ,"2,37,427   ",9.9   
56,Wyoming,1983,"3,57,908   ","2,52,791   ",70.6   ,"2,33,007   ",65.1   ,"19,784   ",7.8   
01,Alabama,1984,"29,20,865   ","17,77,120   ",60.8   ,"15,74,773   ",53.9   ,"2,02,347   ",11.4   
02,Alaska,1984,"3,44,968   ","2,49,886   ",72.4   ,"2,25,150   ",65.3   ,"24,736   ",9.9   
04,Arizona,1984,"23,13,756   ","14,64,207   ",63.3   ,"13,91,472   ",60.1   ,"72,735   ",5.0   
05,Arkansas,1984,"17,20,758   ","10,40,156   ",60.4   ,"9,51,555   ",55.3   ,"88,601   ",8.5   
06,California,1984,"1,94,93,327   ","1,28,36,418   ",65.9   ,"1,18,40,393   ",60.7   ,"9,96,025   ",7.8   
037,Los Angeles County,1984,"61,03,850   ","39,42,116   ",64.6   ,"36,33,764   ",59.5   ,"3,08,352   ",7.8   
08,Colorado,1984,"23,62,335   ","17,09,851   ",72.4   ,"16,16,112   ",68.4   ,"93,739   ",5.5   
09,Connecticut,1984,"24,73,452   ","16,84,212   ",68.1   ,"16,06,021   ",64.9   ,"78,191   ",4.6   
10,Delaware,1984,"4,60,588   ","3,05,900   ",66.4   ,"2,87,336   ",62.4   ,"18,564   ",6.1   
11,District of Columbia,1984,"4,98,173   ","3,30,555   ",66.4   ,"3,01,376   ",60.5   ,"29,179   ",8.8   
12,Florida,1984,"87,35,304   ","51,98,246   ",59.5   ,"48,56,842   ",55.6   ,"3,41,404   ",6.6   
13,Georgia,1984,"42,78,667   ","27,97,670   ",65.4   ,"26,26,579   ",61.4   ,"1,71,091   ",6.1   
15,Hawaii,1984,"7,19,309   ","4,74,645   ",66.0   ,"4,48,956   ",62.4   ,"25,689   ",5.4   
16,Idaho,1984,"6,95,862   ","4,60,075   ",66.1   ,"4,26,931   ",61.4   ,"33,144   ",7.2   
17,Illinois,1984,"85,13,927   ","55,44,572   ",65.1   ,"50,36,954   ",59.2   ,"5,07,618   ",9.2   
18,Indiana,1984,"40,31,179   ","26,01,903   ",64.5   ,"23,81,319   ",59.1   ,"2,20,584   ",8.5   
19,Iowa,1984,"21,24,880   ","13,97,265   ",65.8   ,"13,00,539   ",61.2   ,"96,726   ",6.9   
20,Kansas,1984,"17,78,046   ","11,92,227   ",67.1   ,"11,33,639   ",63.8   ,"58,588   ",4.9   
21,Kentucky,1984,"27,19,449   ","16,97,823   ",62.4   ,"15,43,460   ",56.8   ,"1,54,363   ",9.1   
22,Louisiana,1984,"31,33,861   ","19,06,269   ",60.8   ,"17,10,895   ",54.6   ,"1,95,374   ",10.2   
23,Maine,1984,"8,64,599   ","5,47,928   ",63.4   ,"5,14,342   ",59.5   ,"33,586   ",6.1   
24,Maryland,1984,"33,29,714   ","22,75,905   ",68.4   ,"21,53,269   ",64.7   ,"1,22,636   ",5.4   
25,Massachusetts,1984,"45,45,071   ","30,66,374   ",67.5   ,"29,20,059   ",64.2   ,"1,46,315   ",4.8   
26,Michigan,1984,"67,38,231   ","43,11,604   ",64.0   ,"38,25,465   ",56.8   ,"4,86,139   ",11.3   
27,Minnesota,1984,"30,92,662   ","22,11,218   ",71.5   ,"20,70,487   ",66.9   ,"1,40,731   ",6.4   
28,Mississippi,1984,"18,26,857   ","10,79,399   ",59.1   ,"9,64,335   ",52.8   ,"1,15,064   ",10.7   
29,Missouri,1984,"37,22,038   ","23,50,543   ",63.2   ,"21,78,753   ",58.5   ,"1,71,790   ",7.3   
